price,location_id_real_consumer,location_id_aggregated_consumer,year,is_real
107.12,24,,2021 ,true
109.98,25,,2021 ,true
117.2,26,,2021 ,true
114.3,27,,2021 ,true
104.55,28,,2021 ,true
115.21,29,,2021 ,true
115.2,30,,2021 ,true
110.49,31,,2021 ,true
106.97,32,,2021 ,true
111.53,33,,2021 ,true
215.24,34,,2021 ,true
,35,,2021 ,true
112.5,36,,2021 ,true
109.35,37,,2021 ,true
120.69,0,,2022 ,true
121.07,1,,2022 ,true
123.26,2,,2022 ,true
123.52,3,,2022 ,true
103.74,4,,2022 ,true
110.17,5,,2022 ,true
132.1,6,,2022 ,true
118.7,7,,2022 ,true
113.8,8,,2022 ,true
116.82,,0,2022 ,false
116.83,,1,2022 ,false
137.03,9,,2022 ,true
111.21,10,,2022 ,true
115.95,11,,2022 ,true
118.82,,2,2022 ,false
113.74,12,,2022 ,true
114.04,13,,2022 ,true
117.11,14,,2022 ,true
137.22,15,,2022 ,true
112.0,16,,2022 ,true
112.96,17,,2022 ,true
114.2,18,,2022 ,true
137.57,19,,2022 ,true
118.55,20,,2022 ,true
131.47,21,,2022 ,true
120.92,22,,2022 ,true
125.83,23,,2022 ,true
113.69,24,,2022 ,true
122.78,25,,2022 ,true
124.5,26,,2022 ,true
129.4,27,,2022 ,true
113.03,28,,2022 ,true
129.06,29,,2022 ,true
128.7,30,,2022 ,true
119.39,31,,2022 ,true
116.94,32,,2022 ,true
125.05,33,,2022 ,true
370.82,34,,2022 ,true
,35,,2022 ,true
122.27,36,,2022 ,true
122.01,37,,2022 ,true
